date,market,rank,code,name,score,selected,target_weight
2026-09-08,a,119,000951.SZ,中国重汽,0.7800657712249399,False,0.0
2026-09-08,a,120,000883.SZ,湖北能源,0.7789040289261843,False,0.0
2026-09-08,a,121,600927.SH,永安期货,0.778858206365943,False,0.0
2026-09-08,a,122,601016.SH,节能风电,0.7761105437403301,False,0.0
2026-09-08,a,123,603786.SH,科博达,0.7739612163306315,False,0.0
2026-09-08,a,124,688012.SH,中微公司,0.7702896170205703,False,0.0
2026-09-08,a,125,688114.SH,华大智造,0.7693620850492708,False,0.0
2026-09-08,a,126,603688.SH,石英股份,0.7587480981870591,False,0.0
2026-09-08,a,127,688582.SH,芯动联科,0.7505782939199455,False,0.0
2026-09-08,a,128,600642.SH,申能股份,0.7450626566102465,False,0.0
2026-09-08,a,129,600032.SH,浙江新能,0.7420574424865822,False,0.0
2026-09-08,a,130,603225.SH,新凤鸣,0.7405020484665488,False,0.0
2026-09-08,a,131,688778.SH,厦钨新能,0.7402464645995064,False,0.0
2026-09-08,a,132,000537.SZ,绿发电力,0.713502871257232,False,0.0
2026-09-08,a,133,000623.SZ,吉林敖东,0.7055466608691845,False,0.0
2026-09-08,a,134,600352.SH,浙江龙盛,0.6924805204398508,False,0.0
2026-09-08,a,135,600499.SH,科达制造,0.689402738824005,False,0.0
2026-09-08,a,136,688047.SH,龙芯中科,0.6801813909547032,False,0.0
2026-09-08,a,137,002126.SZ,银轮股份,0.670455680717621,False,0.0
2026-09-08,a,138,603699.SH,纽威股份,0.6682275965440984,False,0.0
2026-09-08,a,139,688475.SH,萤石网络,0.6680459151290665,False,0.0
2026-09-08,a,140,300418.SZ,昆仑万维,0.6658202451037736,False,0.0
2026-09-08,a,141,000559.SZ,万向钱潮,0.6653593391005798,False,0.0
2026-09-08,a,142,000709.SZ,河钢股份,0.6567819331042745,False,0.0
2026-09-08,a,143,000785.SZ,居然智家,0.6539860305854389,False,0.0
2026-09-08,a,144,000598.SZ,兴蓉环境,0.6440795033221548,False,0.0
2026-09-08,a,145,603833.SH,欧派家居,0.6439050394088104,False,0.0
2026-09-08,a,146,002738.SZ,中矿资源,0.643648697154205,False,0.0
2026-09-08,a,147,002271.SZ,东方雨虹,0.6329207981695197,False,0.0
2026-09-08,a,148,603077.SH,和邦生物,0.6327054418561641,False,0.0
2026-09-08,a,149,688008.SH,澜起科技,0.6308982751006584,False,0.0
2026-09-08,a,150,300972.SZ,万辰集团,0.6227011981180809,False,0.0
2026-09-08,a,151,603939.SH,益丰药房,0.6144203655298931,False,0.0
2026-09-08,a,152,301536.SZ,星宸科技,0.6066765564369555,False,0.0
2026-09-08,a,153,300033.SZ,同花顺,0.6064052050967159,False,0.0
2026-09-08,a,154,600153.SH,建发股份,0.599147675534013,False,0.0
2026-09-08,a,155,601117.SH,中国化学,0.5946784094969181,False,0.0
2026-09-08,a,156,000723.SZ,美锦能源,0.5941093569036762,False,0.0
2026-09-08,a,157,002508.SZ,老板电器,0.5925826525379394,False,0.0
2026-09-08,a,158,688692.SH,达梦数据,0.5857781775554434,False,0.0
2026-09-08,a,159,000683.SZ,博源化工,0.5808695663893481,False,0.0
2026-09-08,a,160,000651.SZ,格力电器,0.5788566345338695,False,0.0
2026-09-08,a,161,002262.SZ,恩华药业,0.5751237937341427,False,0.0
2026-09-08,a,162,600655.SH,豫园股份,0.5739744372514104,False,0.0
2026-09-08,a,163,000729.SZ,燕京啤酒,0.5735780709730671,False,0.0
2026-09-08,a,164,603341.SH,龙旗科技,0.5699747407529491,False,0.0
2026-09-08,a,165,601098.SH,中南传媒,0.5609280160996145,False,0.0
2026-09-08,a,166,601799.SH,星宇股份,0.558002248886058,False,0.0
2026-09-08,a,167,300953.SZ,震裕科技,0.5540485919976742,False,0.0
2026-09-08,a,168,688708.SH,佳驰科技,0.5536962790126385,False,0.0
2026-09-08,a,169,001286.SZ,陕西能源,0.5507829873933149,False,0.0
2026-09-08,a,170,002410.SZ,广联达,0.5384117972880643,False,0.0
2026-09-08,a,171,601088.SH,中国神华,0.53587166708185,False,0.0
2026-09-08,a,172,000937.SZ,冀中能源,0.5332416348991541,False,0.0
2026-09-08,a,173,603979.SH,金诚信,0.5317944996098253,False,0.0
2026-09-08,a,174,600516.SH,方大炭素,0.5286280199060436,False,0.0
2026-09-08,a,175,000825.SZ,太钢不锈,0.5276566940805324,False,0.0
2026-09-08,a,176,601717.SH,中创智领,0.5236687007838087,False,0.0
2026-09-08,a,177,688363.SH,华熙生物,0.5207452704976162,False,0.0
2026-09-08,a,178,603885.SH,吉祥航空,0.5206823429908993,False,0.0
2026-09-08,a,179,000987.SZ,越秀资本,0.5204791258648083,False,0.0
2026-09-08,a,180,601939.SH,建设银行,0.5122159542931618,False,0.0
2026-09-08,a,181,603568.SH,伟明环保,0.5010439536506991,False,0.0
2026-09-08,a,182,000157.SZ,中联重科,0.494870160411072,False,0.0
2026-09-08,a,183,600688.SH,上海石化,0.49068506318046373,False,0.0
2026-09-08,a,184,300408.SZ,三环集团,0.4864010685400393,False,0.0
2026-09-08,a,185,000582.SZ,北部湾港,0.4810554290834795,False,0.0
2026-09-08,a,186,002444.SZ,巨星科技,0.4781384461581251,False,0.0
2026-09-08,a,187,600348.SH,华阳股份,0.4738494420216823,False,0.0
2026-09-08,a,188,000733.SZ,振华科技,0.4624101298004797,False,0.0
2026-09-08,a,189,002236.SZ,大华股份,0.45577154449346036,False,0.0
2026-09-08,a,190,688349.SH,三一重能,0.4554637645371663,False,0.0
2026-09-08,a,191,600563.SH,法拉电子,0.4544796127769993,False,0.0
2026-09-08,a,192,000708.SZ,中信特钢,0.4481737505788411,False,0.0
2026-09-08,a,193,300115.SZ,长盈精密,0.44745743725194126,False,0.0
2026-09-08,a,194,000786.SZ,北新建材,0.44093646225598004,False,0.0
2026-09-08,a,195,601211.SH,国泰海通,0.43859086778967965,False,0.0
2026-09-08,a,196,600566.SH,济川药业,0.43798791939177945,False,0.0
2026-09-08,a,197,002028.SZ,思源电气,0.43773606222677625,False,0.0
2026-09-08,a,198,002831.SZ,裕同科技,0.43660313501103565,False,0.0
2026-09-08,a,199,300751.SZ,迈为股份,0.4366021681271884,False,0.0
2026-09-08,a,200,002120.SZ,韵达股份,0.4311418560764198,False,0.0
2026-09-08,a,201,300012.SZ,华测检测,0.4309067759621233,False,0.0
2026-09-08,a,202,603049.SH,中策橡胶,0.4307409324943489,False,0.0
2026-09-08,a,203,688777.SH,中控技术,0.4298683314568395,False,0.0
2026-09-08,a,204,300496.SZ,中科创达,0.4258844950775749,False,0.0
2026-09-08,a,205,600332.SH,白云山,0.42345657696034744,False,0.0
2026-09-08,a,206,000629.SZ,钒钛股份,0.4196513118065951,False,0.0
2026-09-08,a,207,600025.SH,华能水电,0.4178940827689272,False,0.0
2026-09-08,a,208,601567.SH,三星电气,0.40527834809696706,False,0.0
2026-09-08,a,209,603565.SH,中谷物流,0.40398032601449835,False,0.0
2026-09-08,a,210,603298.SH,杭叉集团,0.3966971814120923,False,0.0
2026-09-08,a,211,000513.SZ,丽珠集团,0.3945466686049481,False,0.0
2026-09-08,a,212,002244.SZ,滨江集团,0.39143429051594664,False,0.0
2026-09-08,a,213,600060.SH,海信视像,0.38875690332340235,False,0.0
2026-09-08,a,214,000528.SZ,柳工,0.38756415119343685,False,0.0
2026-09-08,a,215,600329.SH,达仁堂,0.3849037949277086,False,0.0
2026-09-08,a,216,601816.SH,京沪高铁,0.38464620604988,False,0.0
2026-09-08,a,217,601728.SH,中国电信,0.3802229570646965,False,0.0
2026-09-08,a,218,000983.SZ,山西焦煤,0.3777764165661785,False,0.0
2026-09-08,a,219,603728.SH,鸣志电器,0.37553600790348474,False,0.0
2026-09-08,a,220,301301.SZ,川宁生物,0.37450637331898196,False,0.0
2026-09-08,a,221,000792.SZ,盐湖股份,0.3722854515146538,False,0.0
2026-09-08,a,222,001965.SZ,招商公路,0.36862846377497704,False,0.0
2026-09-08,a,223,603737.SH,三棵树,0.36733509947217635,False,0.0
2026-09-08,a,224,300001.SZ,特锐德,0.36099013122438,False,0.0
2026-09-08,a,225,688425.SH,铁建重工,0.3608533702814409,False,0.0
2026-09-08,a,226,300140.SZ,节能环境,0.360519681484396,False,0.0
2026-09-08,a,227,603658.SH,安图生物,0.3570247801941684,False,0.0
2026-09-08,a,228,601898.SH,中煤能源,0.356440225766917,False,0.0
2026-09-08,a,229,600030.SH,中信证券,0.35482976389166704,False,0.0
2026-09-08,a,230,002709.SZ,天赐材料,0.3470996282700669,False,0.0
2026-09-08,a,231,600171.SH,上海贝岭,0.3447791956324117,False,0.0
2026-09-08,a,232,300373.SZ,扬杰科技,0.34314968106218874,False,0.0
2026-09-08,a,233,600398.SH,海澜之家,0.34301533292934955,False,0.0
2026-09-08,a,234,600282.SH,南钢股份,0.3420805649572556,False,0.0
2026-09-08,a,235,002223.SZ,鱼跃医疗,0.3406165813865665,False,0.0
2026-09-08,a,236,601928.SH,凤凰传媒,0.3402540974832225,False,0.0
2026-09-08,a,237,600188.SH,兖矿能源,0.33896173789068573,False,0.0
2026-09-08,a,238,603379.SH,三美股份,0.3383260054989685,False,0.0
2026-09-08,a,239,300679.SZ,电连技术,0.32745794766066666,False,0.0
2026-09-08,a,240,002841.SZ,视源股份,0.32045024548530665,False,0.0
2026-09-08,a,241,300888.SZ,稳健医疗,0.32019480993200766,False,0.0
2026-09-08,a,242,600995.SH,南网储能,0.31927226608664333,False,0.0
2026-09-08,a,243,600350.SH,山东高速,0.31547017917211545,False,0.0
2026-09-08,a,244,000977.SZ,浪潮信息,0.3137374493905422,False,0.0
2026-09-08,a,245,300919.SZ,中伟新材,0.3132827738707306,False,0.0
2026-09-08,a,246,002500.SZ,山西证券,0.31320854079301186,False,0.0
2026-09-08,a,247,601019.SH,山东出版,0.3130743544657496,False,0.0
2026-09-08,a,248,601916.SH,浙商银行,0.30723183877957555,False,0.0
2026-09-08,a,249,600808.SH,马钢股份,0.3050584504425587,False,0.0
2026-09-08,a,250,002608.SZ,江苏国信,0.30081988779001034,False,0.0
2026-09-08,a,251,000800.SZ,一汽解放,0.29505075824075616,False,0.0
2026-09-08,a,252,300073.SZ,当升科技,0.2943064434046806,False,0.0
2026-09-08,a,253,601225.SH,陕西煤业,0.2918285022335185,False,0.0
2026-09-08,a,254,603766.SH,隆鑫通用,0.2890764208894789,False,0.0
2026-09-08,a,255,600406.SH,国电南瑞,0.28821518059624357,False,0.0
2026-09-08,a,256,600909.SH,华安证券,0.28726677974746295,False,0.0
2026-09-08,a,257,600968.SH,海油发展,0.28476581278107155,False,0.0
2026-09-08,a,258,000895.SZ,双汇发展,0.2844986566304849,False,0.0
2026-09-08,a,259,603993.SH,洛阳钼业,0.2830342852348308,False,0.0
2026-09-08,a,260,002568.SZ,百润股份,0.2803897928156098,False,0.0
2026-09-08,a,261,002603.SZ,以岭药业,0.2726217320171029,False,0.0
2026-09-08,a,262,002064.SZ,华峰化学,0.26756355202358784,False,0.0
2026-09-08,a,263,600100.SH,同方股份,0.2668245076311002,False,0.0
2026-09-08,a,264,300502.SZ,新易盛,0.2646207142787703,False,0.0
2026-09-08,a,265,301606.SZ,绿联科技,0.2630159391140001,False,0.0
2026-09-08,a,266,601668.SH,中国建筑,0.2565802296503738,False,0.0
2026-09-08,a,267,601399.SH,国机重装,0.2550033308906276,False,0.0
2026-09-08,a,268,603606.SH,东方电缆,0.245321637427535,False,0.0
2026-09-08,a,269,002152.SZ,广电运通,0.244532527285471,False,0.0
2026-09-08,a,270,688538.SH,和辉光电,0.2414429544568588,False,0.0
2026-09-08,a,271,688223.SH,晶科能源,0.2410032143011837,False,0.0
2026-09-08,a,272,601233.SH,桐昆股份,0.2402713657486384,False,0.0
2026-09-08,a,273,601919.SH,中远海控,0.2363181650958536,False,0.0
2026-09-08,a,274,688387.SH,信科移动,0.2359469726571211,False,0.0
2026-09-08,a,275,600707.SH,彩虹股份,0.23593928099994216,False,0.0
2026-09-08,a,276,002008.SZ,大族激光,0.23461009936847696,False,0.0
2026-09-08,a,277,600884.SH,杉杉股份,0.22650391506610668,False,0.0
2026-09-08,a,278,000967.SZ,盈峰环境,0.226257505203164,False,0.0
2026-09-08,a,279,603799.SH,华友钴业,0.2240294359474495,False,0.0
2026-09-08,a,280,002926.SZ,华西证券,0.22366591847359268,False,0.0
