as_of,code,name,market_cap_hkd,index_code,inclusion_date,execution_id,data_available,history_ok,average_daily_amount_hkd,liquidity_ok,trading_at_review,eligible,selected,effective_from,factors_complete,trading_at_signal,ready_for_scoring
2026-06-30,01919.HK,中远海控,199222000000.0,HSCI.HK,2005-09-05,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,323813568.8,True,True,True,True,2026-07-01,True,True,True
2026-06-30,02020.HK,安踏体育,198702000000.0,HSCI.HK,2008-03-10,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,641318832.0,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01378.HK,中国宏桥,196977000000.0,HSCI.HK,2018-03-05,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,1449972901.3333333,True,True,True,True,2026-07-01,True,True,True
2026-06-30,00066.HK,港铁公司,189857000000.0,HSCI.HK,2001-10-03,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,191722270.93333334,True,True,True,True,2026-07-01,True,True,True
2026-06-30,06690.HK,海尔智家,187365000000.0,HSCI.HK,2021-03-15,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,444565724.26666665,True,True,True,True,2026-07-01,True,True,True
2026-06-30,00762.HK,中国联通,186955000000.0,HSCI.HK,2001-10-03,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,211045818.66666666,True,True,True,True,2026-07-01,True,True,True
2026-06-30,00002.HK,中电控股,184936000000.0,HSCI.HK,2001-10-03,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,230556883.6,True,True,True,True,2026-07-01,True,True,True
2026-06-30,00175.HK,吉利汽车,182897000000.0,HSCI.HK,2010-03-08,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,1496796850.1333334,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01024.HK,快手-W,179999000000.0,HSCI.HK,2021-02-23,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,2494136613.3333335,True,True,True,True,2026-07-01,True,True,True
2026-06-30,03692.HK,翰森制药,179620000000.0,HSCI.HK,2019-09-09,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,372598646.6666667,True,True,True,True,2026-07-01,True,True,True
