windcode,name,market_cap_hkd
01776.HK,广发证券,132944000000.0
01773.HK,天立国际控股,2327000000.0
01772.HK,赣锋锂业,105464000000.00002
01768.HK,鸣鸣很忙,67878000000.0
01766.HK,中国中车,128858000000.0
01735.HK,中环新能源,35904000000.0
01729.HK,汇聚科技,37771000000.0
01698.HK,腾讯音乐-SW,103500000000.0
01691.HK,JS环球生活,4586000000.0
01686.HK,新意网集团,10279000000.0
01681.HK,康臣药业,10587000000.0
01675.HK,亚信科技,4183000000.0
01658.HK,邮储银行,548834000000.0
01610.HK,中粮家佳康,4445000000.0
01585.HK,雅迪控股,27734000000.0
01579.HK,颐海国际,13197000000.0
01548.HK,金斯瑞生物科技,26764000000.0
01530.HK,三生制药,42868000000.0
01519.HK,极兔速递-W,81617000000.0
01513.HK,丽珠医药,21203000000.0
01478.HK,丘钛科技,8197000000.0
01475.HK,日清食品,6888000000.0
01428.HK,耀才证券金融,11762000000.0
01415.HK,高伟电子,20378000000.0
01405.HK,达势股份,3878000000.0
01398.HK,工商银行,2291692000000.0
01384.HK,滴普科技,12674000000.0
01378.HK,中国宏桥,196977000000.0
01368.HK,特步国际,10585000000.0
01364.HK,古茗,50275000000.0
01361.HK,361度,8714000000.0
01359.HK,中国信达,35493000000.0
01357.HK,美图公司,17198000000.0
01347.HK,华虹宏力,373948000000.0
01339.HK,中国人民保险集团,207411000000.0
01336.HK,新华保险,143562000000.0
01333.HK,博雷顿,6420999999.999999
01318.HK,毛戈平,25416000000.0
01316.HK,耐世特,9562000000.0
01313.HK,华润建材科技,7192000000.0
01310.HK,香港宽频,8666000000.0
01308.HK,海丰国际,85088000000.0
01302.HK,先健科技,6392000000.0
01299.HK,友邦保险,739268000000.0
01288.HK,农业银行,1868909000000.0
01277.HK,力量发展,13243000000.0
01276.HK,恒瑞医药,383962000000.0
01258.HK,中国有色矿业,43898000000.0
01211.HK,比亚迪股份,660541000000.0
01209.HK,华润万象生活,83722000000.0
01208.HK,五矿资源,89154000000.0
01199.HK,中远海运港口,17995000000.0
01196.HK,伟禄科技股份,14928000000.0
01193.HK,华润燃气,33923000000.0
01186.HK,中国铁建,62059000000.0
01179.HK,华住集团-S,102590000000.00002
01177.HK,中国生物制药,82489000000.0
01171.HK,兖矿能源,110907000000.0
01164.HK,中广核矿业,18546000000.0
01157.HK,中联重科,59675000000.0
01138.HK,中远海能,75663000000.0
01128.HK,永利澳门,26590000000.0
01117.HK,现代牧业,7756999999.999999
01114.HK,BRILLIANCE CHI,9636000000.0
01113.HK,长实集团,154620000000.0
01112.HK,H&H国际控股,6572000000.0
01109.HK,华润置地,213928000000.00003
01099.HK,国药控股,49650000000.0
01093.HK,石药集团,80311000000.0
01088.HK,中国神华,870179999999.9999
01083.HK,港华智慧能源,10831000000.0
01071.HK,华电国际电力股份,43312000000.0
01070.HK,TCL电子,32495000000.0
01066.HK,威高股份,14488999999.999998
