windcode,name,mktcap_hkd_yi
06055.HK,中烟香港,164.0665
00017.HK,新世界发展,163.5812
01392.HK,海清智元,163.2031
00800.HK,文远知行-W,161.8033
06745.HK,滨化股份,158.179
01060.HK,大麦娱乐,155.8791
01286.HK,鹰普精密,155.6855
02580.HK,奥克斯电气,155.0912
00639.HK,首钢资源,154.7684
09989.HK,海普瑞,153.9028
01579.HK,颐海国际,153.0169
03900.HK,绿城中国,152.6299
02465.HK,龙蟠科技,152.0774
09668.HK,渤海银行,151.8651
03339.HK,中国龙工,149.8035
03393.HK,威胜控股,149.1424
01956.HK,中科闻歌,148.2708
00901.HK,华曦达,148.2496
00811.HK,新华文轩,145.392
02701.HK,国民技术,142.2369
00856.HK,伟仕佳杰,140.8441
00586.HK,海螺创业,140.3168
01866.HK,中国心连心化肥,137.8201
01191.HK,海光芯正,137.3351
03928.HK,中国新零售供应链,137.2928
09636.HK,九方智投控股,136.4792
01053.HK,重庆钢铁股份,134.9891
00152.HK,深圳国际,133.4605
01686.HK,新意网集团,132.9291
02493.HK,迈威生物-B,132.6379
02142.HK,和铂医药-B,131.1098
01117.HK,现代牧业,131.0042
06616.HK,环球新材国际,130.4622
02038.HK,富智康集团,129.3846
00590.HK,六福集团,128.694
09898.HK,微博-SW,128.2411
06855.HK,亚盛医药,127.7768
00303.HK,伟易达,127.2858
09887.HK,维立志博-B,125.8985
02697.HK,真健康医疗-B,123.5525
09911.HK,赤子城科技,123.3698
01428.HK,耀才证券金融,122.9691
01384.HK,滴普科技,120.7753
00546.HK,阜丰集团,120.3526
00697.HK,首程控股,118.0183
01952.HK,云顶新耀,116.9872
02299.HK,百宏实业,116.4952
02627.HK,中慧生物-B,115.3574
00467.HK,联合能源集团,113.2762
01681.HK,康臣药业,111.0001
03388.HK,创想三维,109.9065
02672.HK,白鸽在线,108.6263
00165.HK,中国光大控股,108.5303
09690.HK,途虎-W,104.9776
00636.HK,KLN,104.2887
02128.HK,中国联塑,104.2413
02595.HK,劲方医药-B,103.9014
00336.HK,华宝国际,102.126
02432.HK,越疆,100.8378
02603.HK,吉宏股份,100.6877
09615.HK,梅卡曼德机器人,100.4464
00537.HK,普源精电,100.3016
00517.HK,中远海运国际,100.1258
00754.HK,合生创展集团,100.1231
01368.HK,特步国际,99.3729
06938.HK,瑞博生物-B,99.0924
01836.HK,九兴控股,98.8061
02616.HK,基石药业-B,98.573
02797.HK,齐云山食品,97.6
09637.HK,礼邦医药-B,97.4727
00863.HK,OSL集团,95.6458
03660.HK,奇富科技-S,95.4907
01114.HK,华晨中国,94.8511
00116.HK,周生生,94.7786
00600.HK,爱芯元智,94.2299
02145.HK,上美股份,93.9934
01065.HK,天津创业环保股份,93.8294
00934.HK,中石化冠德,93.6039
02007.HK,碧桂园,93.4538
02272.HK,科拓股份,93.1339
01811.HK,中广核新能源,92.6624
02546.HK,智汇矿业,92.488
01511.HK,驭势科技,92.2915
00667.HK,中国东方教育,91.8378
07489.HK,岚图汽车,91.448
00990.HK,至源控股,89.5481
01883.HK,中信国际电讯,89.1915
06872.HK,丹诺医药-B,87.3893
02335.HK,麦科医药-B,86.5842
01907.HK,中国旭阳集团,85.9658
06636.HK,极视角,85.9281
02506.HK,讯飞医疗科技,85.7027
00881.HK,中升控股,84.6912
09879.HK,米高集团,84.3042
00376.HK,云锋金融,84.2303
02362.HK,金川国际,83.52
02632.HK,泽景股份,81.9962
03887.HK,HASHKEY HLDGS,81.3224
09966.HK,康宁杰瑞制药-B,80.9711
01523.HK,珩湾科技,80.5286
01798.HK,大唐新能源,80.0107
06190.HK,九江银行,78.3026
07688.HK,拓璞数控,77.7396
03380.HK,龙光集团,77.3215
00373.HK,联合集团,77.3011
00751.HK,创维集团,77.2884
02186.HK,绿叶制药,76.6947
02718.HK,明略科技-W,75.9818
02157.HK,乐普生物,75.7865
06826.HK,昊海生物科技,74.5305
02190.HK,归创通桥,73.0936
00855.HK,中国水务,72.3935
03600.HK,现代牙科,72.2615
00694.HK,北京首都机场股份,70.7483
00071.HK,美丽华酒店,69.856
01501.HK,瑛泰医疗,69.696
06110.HK,滔搏,68.5235
01478.HK,丘钛科技,68.3477
01475.HK,日清食品,67.8399
00308.HK,香港中旅,67.5469
00570.HK,中国中药,67.228
06069.HK,盛业,66.9646
00108.HK,春雨医疗,66.9257
02722.HK,重庆机电,66.8762
00568.HK,山东墨龙,66.4618
