trade_date,wind_code,close,volume,amt
2023-05-31,09956.HK,4.9388971145694,12700500,64184275.0
2023-06-01,09956.HK,4.8802171488517,3043500,15229485.0
2023-06-02,09956.HK,4.8606571602792,3184000,16034435.0
2023-06-05,09956.HK,5.1149370117224,2635000,13734700.0
2023-06-06,09956.HK,5.0562570460047,3119000,16232740.0
2023-06-07,09956.HK,5.2909769088753,3630000,19406295.0
2023-06-08,09956.HK,5.6528366974675,3983000,22633787.0
2023-06-09,09956.HK,5.6821766803264,3451000,19957730.0
2023-06-12,09956.HK,5.6528366974675,3030500,17249980.0
2023-06-13,09956.HK,5.8093166060479,4366500,25375535.0
2023-06-14,09956.HK,5.5843767374636,4306000,25023785.0
2023-06-15,09956.HK,5.6723966860401,3296500,18866565.0
2023-06-16,09956.HK,5.6430567031813,2508000,14655437.0
2023-06-19,09956.HK,5.6528366974675,2555000,14494039.0
2023-06-20,09956.HK,5.6430567031813,3517500,20277002.0
2023-06-21,09956.HK,5.564816748891,2778500,15917645.0
2023-06-23,09956.HK,5.2909769088753,1244000,6895490.0
2023-06-26,09956.HK,5.5843767374636,3638500,20628173.0
2023-06-27,09956.HK,5.564816748891,4003000,22662425.0
2023-06-28,09956.HK,5.6430567031813,2953500,16789054.0
2023-06-29,09956.HK,5.5843767374636,2952500,16802029.0
2023-06-30,09956.HK,5.5061367831734,1776500,9982585.0
2023-07-03,09956.HK,5.6528366974675,3539500,20259120.0
2023-07-04,09956.HK,5.6039367260362,3527500,20174785.0
2023-07-05,09956.HK,5.5354767660322,2527500,14339728.0
2023-07-06,09956.HK,5.5550367546048,2733500,15456195.0
2023-07-07,09956.HK,5.2909769088753,3981000,21865959.0
2023-07-10,09956.HK,5.2518569317302,3098000,16438431.0
2023-07-11,09956.HK,5.1931769660126,2962500,15716123.0
2023-07-12,09956.HK,5.0953770231498,2847500,14921032.0
2023-07-13,09956.HK,5.0073570745733,2941500,15179780.0
2023-07-14,09956.HK,5.2714169203028,2887125,15307622.0
2023-07-18,09956.HK,5.2518569317302,2961400,15809773.0
2023-07-19,09956.HK,5.1833969717263,3173000,16758010.0
2023-07-20,09956.HK,5.0269170631459,3145000,16393820.0
2023-07-21,09956.HK,5.0171370688596,10728000,54909753.0
2023-07-24,09956.HK,5.0953770231498,3328500,17029832.0
2023-07-25,09956.HK,5.3594368688792,3299500,17824242.0
2023-07-26,09956.HK,5.3789968574518,3359500,18238490.0
2023-07-27,09956.HK,5.5745967431773,2907464,16542982.0
2023-07-28,09956.HK,5.564816748891,2804068,16032968.0
2023-07-31,09956.HK,5.6137167203224,3525062,20457382.0
2023-08-01,09956.HK,5.9560165203421,4826370,28615879.0
2023-08-02,09956.HK,6.6503961146677,9607734,64848025.0
2023-08-03,09956.HK,6.9731359261148,8397901,59696307.0
2023-08-04,09956.HK,7.1393958289815,7464654,54550445.0
2023-08-07,09956.HK,6.943795943256,3472500,24553295.0
2023-08-08,09956.HK,6.6406161203814,3551500,23805552.0
2023-08-09,09956.HK,6.6014961432363,2356000,15853798.0
2023-08-10,09956.HK,6.6210561318089,3641500,23997187.0
2023-08-11,09956.HK,6.5232561889461,1717500,11478840.0
2023-08-14,09956.HK,6.3961162632245,2014500,13067391.0
2023-08-15,09956.HK,6.2983163203617,1924500,12410668.0
2023-08-16,09956.HK,6.1907363832127,1946500,12312020.0
2023-08-17,09956.HK,6.2298563603578,2236600,14257043.0
2023-08-18,09956.HK,6.1809563889264,1689753,10740461.0
2023-08-21,09956.HK,5.8484365831931,2113500,12851785.0
2023-08-22,09956.HK,6.1320564174951,1893386,11638129.0
2023-08-23,09956.HK,6.0049164917735,1452000,8943006.0
2023-08-24,09956.HK,6.2200763660715,1240000,7781780.0
2023-08-25,09956.HK,6.1907363832127,1713000,10981260.0
