trade_date,wind_code,close,raw_close,volume,amt,mktcap_hkd_yi
2019-10-17,03330.HK,1.2709,1.33,92000.0,120720.0,3.9537442000000005
2019-10-18,03319.HK,18.9314,22.5,8698820.0,196266152.4,97.50015
2019-10-18,03320.HK,5.9322,7.48,2226614.0,16623992.72,470.0810832828
2019-10-18,03323.HK,4.511,6.88,22714983.0,156799382.87,266.1664082272
2019-10-18,03328.HK,3.2133,5.28,17071200.0,90722552.88,1848.626346864
2019-10-18,03330.HK,1.2327,1.29,42000.0,54900.0,3.8348345999999998
2019-10-21,03319.HK,18.8894,22.45,3237866.0,72771635.0,97.28348299999999
2019-10-21,03320.HK,5.8687,7.4,1832220.0,13566738.6,465.05347811400003
2019-10-21,03323.HK,4.4979,6.86,17874194.0,121914940.38,265.3926686684
2019-10-21,03328.HK,3.2376,5.32,11424139.0,60870729.83,1862.631091916
2019-10-21,03330.HK,1.2422,1.3,144000.0,186780.0,3.8645620000000003
2019-10-22,03319.HK,18.5107,22.0,4760910.0,105324066.75,95.33348000000001
2019-10-22,03320.HK,6.0115,7.58,5259857.0,39756415.24,476.3655897438
2019-10-22,03323.HK,4.4717,6.82,16131523.0,110063671.99,263.8451895508
2019-10-22,03328.HK,3.2559,5.35,9393652.0,50209404.67,1873.134650705
2019-10-22,03330.HK,1.2327,1.29,354000.0,455680.0,3.8348345999999998
2019-10-23,03319.HK,18.5528,22.05,3841141.0,85747194.8,95.550147
2019-10-23,03320.HK,5.8846,7.42,3145000.0,23253435.0,466.31037940620007
2019-10-23,03323.HK,4.4914,6.85,20977550.0,144249412.5,265.005798889
2019-10-23,03328.HK,3.2437,5.33,10607961.0,56439356.32,1866.132278179
2019-10-23,03330.HK,1.2135,1.27,260000.0,329120.0,3.7753798
2019-10-24,03319.HK,18.4266,21.9,3196135.0,70371981.85,94.90014599999999
2019-10-24,03320.HK,5.8925,7.43,2143350.0,15880017.2,466.9388300523001
2019-10-24,03323.HK,4.5373,6.92,15292752.0,105139165.92,267.71388734479996
2019-10-24,03328.HK,3.2802,5.39,15956170.0,85824247.08,1887.139395757
2019-10-24,03330.HK,1.204,1.26,136000.0,172200.0,3.7456523999999995
2019-10-25,03319.HK,18.5107,22.0,5727946.0,125897040.15,95.33348000000001
2019-10-25,03320.HK,5.9559,7.51,1588000.0,11908745.0,471.9664352211
2019-10-25,03323.HK,4.4586,6.8,20687620.0,140750990.72,263.071449992
2019-10-25,03328.HK,3.2559,5.35,16515531.0,88155460.48,1873.134650705
2019-10-25,03330.HK,1.2327,1.29,228000.0,292480.0,3.8348345999999998
2019-10-28,03319.HK,19.6887,23.4,6927868.0,159083342.55,101.40015600000001
2019-10-28,03320.HK,5.948,7.5,1470500.0,11096794.5,471.337984575
2019-10-28,03323.HK,4.4389,6.77,17469176.0,118374351.32,261.91084065380005
2019-10-28,03328.HK,3.2741,5.38,12389296.0,66653572.22,1883.638209494
2019-10-28,03330.HK,1.2135,1.27,260000.0,332500.0,3.7753798
2019-10-29,03319.HK,20.2777,24.1,7311420.0,176029588.5,104.433494
2019-10-29,03320.HK,5.9242,7.47,2003740.0,14983827.3,469.4526326367
2019-10-29,03323.HK,4.4192,6.74,22426560.0,151803255.2,260.75023131560005
2019-10-29,03328.HK,3.262,5.36,15936367.0,85313817.61,1876.635836968
2019-10-29,03330.HK,1.2422,1.3,84000.0,108240.0,3.8645620000000003
2019-10-30,03319.HK,19.5204,23.2,7234000.0,169391086.5,100.533488
2019-10-30,03320.HK,5.7815,7.29,5902436.0,43290972.07,458.1405210069
2019-10-30,03323.HK,4.3668,6.66,22993792.0,153264576.83,257.6552730804
2019-10-30,03328.HK,3.2315,5.31,16186336.0,85829168.58,1859.129905653
2019-10-30,03330.HK,1.2231,1.28,32000.0,41000.0,3.8051072
2019-10-31,03319.HK,20.0252,23.8,4150775.0,99257446.5,103.133492
2019-10-31,03320.HK,5.7497,7.25,7628814.0,54933403.02,455.62671842250006
2019-10-31,03323.HK,4.3406,6.62,25128668.0,166431218.88,256.1077939628
2019-10-31,03328.HK,3.262,5.36,16656793.0,88947121.44,1876.635836968
2019-10-31,03330.HK,1.204,1.26,142000.0,179300.0,3.7456523999999995
2019-11-01,03319.HK,19.9411,23.7,2320468.0,55191315.1,102.700158
2019-11-01,03320.HK,5.8528,7.38,3487500.0,25614695.0,463.79657682180004
2019-11-01,03323.HK,4.5176,6.89,33418802.0,229199202.8,266.5532780066
2019-11-01,03328.HK,3.3046,5.43,17852908.0,96163849.62,1901.144140809
2019-11-01,03330.HK,1.2327,1.29,104000.0,134220.0,3.8348345999999998
2019-11-04,03319.HK,21.3294,25.35,6266127.0,154603696.9,109.850169
2019-11-04,03320.HK,5.7339,7.23,5882064.0,42699483.361,454.3698171303
2019-11-04,03323.HK,4.7143,7.19,40221089.0,287304412.762,278.1593713886
2019-11-04,03328.HK,3.3411,5.49,16104519.0,88136839.5,1922.151258387
2019-11-04,03330.HK,1.1944,1.25,864000.0,1085340.0,3.715925
2019-11-05,03319.HK,21.077,25.05,4285971.0,108003816.1,108.55016699999999
2019-11-05,03320.HK,5.6308,7.1,9290000.0,65913513.5,446.1999587309999
2019-11-05,03323.HK,4.7405,7.23,24203431.0,174590469.97,279.7068505062
2019-11-05,03328.HK,3.3411,5.49,21186521.0,115856537.972,1922.151258387
2019-11-05,03330.HK,1.1849,1.24,170000.0,211740.0,3.6861976000000003
2019-11-06,03319.HK,21.2873,25.3,4370581.0,111354399.0,109.63350200000001
2019-11-06,03320.HK,5.5832,7.04,4801250.0,33972473.0,442.42925485439997
2019-11-06,03323.HK,4.7799,7.29,22883333.0,166855697.136,282.0280691826
2019-11-06,03328.HK,3.3289,5.47,11314920.0,61972696.83,1915.148885861
2019-11-06,03330.HK,1.204,1.26,88000.0,109580.0,3.7456523999999995
2019-11-07,03319.HK,21.1611,25.15,2066700.0,52117797.5,108.983501
2019-11-07,03320.HK,5.718,7.21,5237100.0,37457491.0,453.11291583810004
2019-11-07,03323.HK,4.8192,7.35,23948994.0,175414247.97,284.349287859
2019-11-07,03328.HK,3.3654,5.53,18583650.0,102413196.07,1936.156003439
2019-11-07,03330.HK,1.1944,1.25,164000.0,204300.0,3.715925
2019-11-08,03319.HK,21.0349,25.0,5164046.0,130171865.45,108.3335
2019-11-08,03320.HK,5.7339,7.23,4148853.0,30024668.834,454.3698171303
2019-11-08,03323.HK,4.852,7.4,23821544.0,176021305.144,286.28363675599996
