trade_date,wind_code,close,volume,amt
2017-06-22,00823.HK,55.206062449037,5225049,318554936.0
2017-06-23,00823.HK,54.574104252564,4154365,251748233.0
2017-06-26,00823.HK,54.799803608447,3248847,197054432.0
2017-06-27,00823.HK,54.393544767858,4106166,248015706.0
2017-06-28,00823.HK,53.851866313738,5066083,303246525.0
2017-06-29,00823.HK,54.077565669621,4089652,245299284.0
2017-06-30,00823.HK,53.626166957855,5072638,301169912.0
2017-07-03,00823.HK,53.265047988441,3828466,226439383.0
2017-07-04,00823.HK,53.129628374912,4119911,241865011.0
2017-07-05,00823.HK,53.219908117265,3492453,205435905.0
2017-07-06,00823.HK,53.535887215501,4880365,288624124.0
2017-07-07,00823.HK,53.174768246088,4103275,241847811.0
2017-07-10,00823.HK,54.935223221977,6529149,396334129.0
2017-07-11,00823.HK,54.438684639034,5213127,314040877.0
2017-07-12,00823.HK,54.393544767858,3062384,184460089.0
2017-07-13,00823.HK,54.574104252564,5218276,316101000.0
2017-07-14,00823.HK,55.025502964331,3433303,208275002.0
2017-07-17,00823.HK,55.251202320214,2700452,164882417.0
2017-07-18,00823.HK,55.657461160804,3840634,235439583.0
2017-07-19,00823.HK,55.56718141845,3520816,215166055.0
2017-07-20,00823.HK,55.206062449037,2560217,156786194.0
2017-07-21,00823.HK,55.296342191391,2350100,143523174.0
2017-07-24,00823.HK,55.883160516687,4021070,248231856.0
2017-07-25,00823.HK,55.522041547274,2507075,154129809.0
2017-07-26,00823.HK,55.070642835507,4503471,275642600.0
2017-07-27,00823.HK,56.65053832669,12192413,763347450.0
2017-07-28,00823.HK,57.688755363753,6629746,422463293.0
2017-07-31,00823.HK,57.32763639434,4016375,256071653.0
2017-08-01,00823.HK,57.417916136693,3899786,247567100.0
2017-08-02,00823.HK,57.553335750223,3568303,227360626.0
2017-08-03,00823.HK,57.417916136693,1567133,99586955.0
2017-08-04,00823.HK,57.688755363753,3184517,202537261.0
2017-08-07,00823.HK,57.463056007869,2529013,161034297.0
2017-08-08,00823.HK,57.282496523163,2896714,183002925.0
2017-08-09,00823.HK,57.101937038456,2230651,140691511.0
2017-08-10,00823.HK,56.831097811396,4402379,277233891.0
2017-08-11,00823.HK,56.424838970807,5654414,353533297.0
2017-08-14,00823.HK,57.011657296103,3462490,217889218.0
2017-08-15,00823.HK,56.966517424926,3190541,201057612.0
2017-08-16,00823.HK,57.32763639434,3997284,252626515.0
2017-08-17,00823.HK,57.147076909633,3519455,222138548.0
2017-08-18,00823.HK,56.966517424926,4911452,310481709.0
2017-08-21,00823.HK,56.876237682573,3505511,220512734.0
2017-08-22,00823.HK,57.282496523163,2509359,158887190.0
2017-08-24,00823.HK,57.32763639434,5286952,334877107.0
2017-08-25,00823.HK,57.508195879046,5054524,320863551.0
2017-08-28,00823.HK,57.237356651986,3602272,228753909.0
2017-08-29,00823.HK,57.417916136693,2293530,145739499.0
2017-08-30,00823.HK,57.688755363753,3184081,202542245.0
2017-08-31,00823.HK,58.320713560226,4482698,288422741.0
2017-09-01,00823.HK,58.365853431402,2826781,182247203.0
2017-09-04,00823.HK,57.869314848459,2264069,145307008.0
2017-09-05,00823.HK,58.320713560226,3543732,228885003.0
2017-09-06,00823.HK,58.230433817872,3482358,224151780.0
2017-09-07,00823.HK,57.869314848459,3007985,193150222.0
2017-09-08,00823.HK,58.410993302579,4305193,277611139.0
2017-09-11,00823.HK,58.410993302579,2957532,191270753.0
2017-09-12,00823.HK,58.546412916109,2263425,146523128.0
2017-09-13,00823.HK,58.501273044932,2504267,161966507.0
2017-09-14,00823.HK,57.824174977283,2670344,171324624.0
2017-09-15,00823.HK,58.410993302579,4551990,293972655.0
2017-09-18,00823.HK,58.817252143169,2336661,151917712.0
2017-09-19,00823.HK,58.230433817872,2528332,163702842.0
2017-09-20,00823.HK,57.643615492576,4855939,310557686.0
2017-09-21,00823.HK,57.463056007869,4273342,271806912.0
2017-09-22,00823.HK,57.19221678081,4544453,287092881.0
