date,code,amt_log_20,pred,is_holdout,base_score,blend_raw,score,fwd_ret,label_start,label_end,target_weight,rank
2024-05-31,01258.HK,0.06238672155185744,1.4977622921985363,False,2.7629833985318712,0.8609134235609606,1.4977622921985363,-0.06511289,2024-06-03,2024-07-02,0.06666666666666667,15
2024-06-28,01114.HK,1.0182755766645397,2.7944777146634743,False,0.3324112632198427,0.9580092042176345,2.7944777146634743,0.0024735928,2024-07-02,2024-08-01,0.06666666666666667,1
2024-06-28,01164.HK,-0.05988258066651678,2.4903466262719185,False,2.247471742250837,0.8613630034825551,2.4903466262719185,-0.14739978,2024-07-02,2024-08-01,0.06666666666666667,2
2024-06-28,01378.HK,1.5042758929368176,2.0086427624009904,False,2.851915681991173,0.8834051222228562,2.0086427624009904,-0.1509434,2024-07-02,2024-08-01,0.06666666666666667,3
2024-06-28,00142.HK,-1.2761058031910677,1.9381279323558578,False,2.2173563784401766,0.9464233191743644,1.9381279323558578,-0.07298821,2024-07-02,2024-08-01,0.06666666666666667,4
2024-06-28,00005.HK,1.8964990309921315,1.8294270017389493,False,0.813475968309881,0.9743232111185753,1.8294270017389493,0.0,2024-07-02,2024-08-01,0.06666666666666667,5
2024-06-28,09901.HK,0.7324912722825365,1.7887949227752489,False,0.8542738493511354,0.777343664613184,1.7887949227752489,-0.18166983,2024-07-02,2024-08-01,0.06666666666666667,6
2024-06-28,00639.HK,-0.6657321458360089,1.7012961738363552,False,1.0009419646688835,0.9477294364900926,1.7012961738363552,-0.15266347,2024-07-02,2024-08-01,0.06666666666666667,7
2024-06-28,00867.HK,0.3755423145266893,1.6885916990108576,False,-0.16081729935915423,0.42642914784998237,1.6885916990108576,-0.0076491237,2024-07-02,2024-08-01,0.06666666666666667,8
2024-06-28,00856.HK,-1.6779100829090217,1.6522149405150612,False,1.654898572636087,0.9090645489677153,1.6522149405150612,0.0046464205,2024-07-02,2024-08-01,0.06666666666666667,9
2024-06-28,06823.HK,-0.09967581554954516,1.6107620794393172,False,1.7636821326545566,0.9643826503335436,1.6107620794393172,0.10201788,2024-07-02,2024-08-01,0.06666666666666667,10
2024-06-28,00551.HK,-0.23535177987416486,1.5873417846020654,False,1.6477216366662577,0.9449328616199895,1.5873417846020654,-0.21957272,2024-07-02,2024-08-01,0.06666666666666667,11
2024-06-28,01361.HK,-1.7255598128438785,1.5594677425912247,False,1.6751132186417137,0.8194349602395045,1.5594677425912247,-0.15655178,2024-07-02,2024-08-01,0.06666666666666667,12
2024-06-28,00120.HK,-1.5553924967905481,1.5246096190538088,False,1.0183152687527985,0.0567092613884096,1.5246096190538088,-0.04285711,2024-07-02,2024-08-01,0.06666666666666667,13
