market,fee_per_side,signal_date,date,code,side,adjusted_units,adjusted_close,raw_close,gross_notional,fee_paid,cash_after_trade,daily_capacity_notional,account_evidence_status
a,0.003,2023-10-31,2023-11-01,002384.SZ,sell,598.9389810973547,137.99438504856,18.53,82650.21637814055,247.95064913442167,230375.27986410103,3558095.5172000006,complete_account
a,0.003,2023-10-31,2023-11-01,300100.SZ,sell,2352.4057879937914,37.906403342314,10.54,89171.24262448665,267.51372787345997,319279.0087607142,3590570.1765,complete_account
a,0.003,2023-10-31,2023-11-01,300567.SZ,sell,288.6413740631069,258.55129472085,83.25,74628.60097402148,223.88580292206444,393683.7239318136,1823368.4741999998,complete_account
a,0.003,2023-10-31,2023-11-01,300677.SZ,sell,594.1137225627665,125.85502157738,21.81,74772.19537255453,224.3165861176636,468231.6027182505,1240578.4994,complete_account
a,0.003,2023-10-31,2023-11-01,300751.SZ,sell,130.45703850109942,555.63720675289,118.32,72486.78447400512,217.46035342201537,540500.9268388336,2320412.8091,complete_account
a,0.003,2023-10-31,2023-11-01,300972.SZ,sell,2168.569948517562,37.430637509266,36.83,81170.9556564485,243.51286696934548,621428.3696283128,237059.28,complete_account
a,0.003,2023-10-31,2023-11-01,301377.SZ,sell,4018.7058994087115,21.564509215602,21.5,86661.42040259328,259.98426120777987,707829.8057696982,620334.2647,complete_account
a,0.003,2023-10-31,2023-11-01,301498.SZ,sell,1844.3625925475387,45.5,45.5,83918.49796091301,251.75549388273905,791496.5482367285,689908.3886000001,complete_account
a,0.003,2023-10-31,2023-11-01,600016.SH,sell,52.900718433177865,92.345668109375,3.73,4885.1521871777395,14.655456561533219,796367.0449673447,2417746.15,complete_account
a,0.003,2023-10-31,2023-11-01,600105.SH,sell,28.335712791937112,51.899617362863,6.03,1470.6126516055185,4.411837954816556,797833.2457809955,8156402.0200000005,complete_account
a,0.003,2023-10-31,2023-11-01,600820.SH,sell,814.3192285698378,91.980739062587,5.55,74901.6844767294,224.7050534301882,872510.2252042947,967465.49,complete_account
a,0.003,2023-10-31,2023-11-01,600967.SH,sell,28.072682600285134,35.386606009757,8.63,993.3969588132508,2.9801908764397522,873500.6419722314,613278.41,complete_account
a,0.003,2023-10-31,2023-11-01,601019.SH,sell,6569.492331689229,10.810433240404,8.25,71019.05827507243,213.0571748252173,944306.6430724787,972642.29,complete_account
a,0.003,2023-10-31,2023-11-01,601138.SH,sell,3615.502169267159,16.417531621053,14.53,59357.621189929305,178.07286356978793,1003486.1913988382,10500217.74,complete_account
a,0.003,2023-10-31,2023-11-01,603256.SH,sell,8977.991842820327,8.9196469146704,8.58,80080.51724074835,240.24155172224505,1083326.4670878644,1458890.49,complete_account
