market,signal_date,entry_date,exit_date,code,rank,entry_adjusted_close,exit_adjusted_close,qveris_gross_return,observable_signal_bar,original_label_start,original_label_end,original_fwd_ret,return_difference
a,2025-06-30,2025-07-01,2025-08-01,688411.SH,1,85.236382145654,87.731699295223,0.02927525883612625,True,2025-07-01,2025-08-01,0.02919018268585205,8.507615027419924e-05
a,2025-06-30,2025-07-01,2025-08-01,600595.SH,2,35.047527314933,34.393112904488,-0.018672199170129966,True,2025-07-01,2025-08-01,-0.019108295440673828,0.000436096270543862
a,2025-06-30,2025-07-01,2025-08-01,600711.SH,3,50.793946094113,60.968150774572,0.20030349013655768,True,2025-07-01,2025-08-01,0.20030581951141357,-2.329374855891686e-06
a,2025-06-30,2025-07-01,2025-08-01,001203.SZ,4,10.37192953998,12.431142301313,0.19853709508876705,True,2025-07-01,2025-08-01,0.19768667221069336,0.0008504228780736867
a,2025-06-30,2025-07-01,2025-08-01,300677.SZ,5,141.94649089455,217.14260076113,0.5297496922445382,True,2025-07-01,2025-08-01,0.5297030210494995,4.6671195038650026e-05
a,2025-06-30,2025-07-01,2025-08-01,002266.SZ,6,36.609275537072,42.395902960674,0.15806451612904038,True,2025-07-01,2025-08-01,0.15686273574829102,0.0012017803807493621
a,2025-06-30,2025-07-01,2025-08-01,601169.SH,7,33.331953261343,31.913572271498,-0.042553191489380304,True,2025-07-01,2025-08-01,-0.04375004768371582,0.001196856194335516
a,2025-06-30,2025-07-01,2025-08-01,301377.SZ,8,36.982159464126,53.378445548221,0.4433566433566427,True,2025-07-01,2025-08-01,0.44328737258911133,6.927076753138195e-05
a,2025-06-30,2025-07-01,2025-08-01,601939.SH,9,23.720760416099,23.012313400582,-0.02986611740474343,True,2025-07-01,2025-08-01,-0.03004288673400879,0.00017676932926535827
a,2025-06-30,2025-07-01,2025-08-01,603225.SH,10,22.455135537425,26.388539786551,0.1751672459322442,True,2025-07-01,2025-08-01,0.17471051216125488,0.0004567337709893149
a,2025-06-30,2025-07-01,2025-08-01,002407.SZ,11,99.423761300214,104.37632309863,0.049812657795771154,True,2025-07-01,2025-08-01,0.05000007152557373,-0.00018741372980257687
a,2025-06-30,2025-07-01,2025-08-01,301526.SZ,12,3.9259076923077,4.8342153846154,0.23136246786632553,True,2025-07-01,2025-08-01,0.2313624620437622,5.822563320379004e-09
a,2025-06-30,2025-07-01,2025-08-01,601577.SH,13,13.422561273435,13.223216304028,-0.014851485148481336,True,2025-07-01,2025-08-01,-0.014537930488586426,-0.00031355465989491016
a,2025-06-30,2025-07-01,2025-08-01,601818.SH,14,8.3334676739234,8.200235338755,-0.015987622485811315,True,2025-07-01,2025-08-01,-0.017902851104736328,0.0019152286189250134
a,2025-06-30,2025-07-01,2025-08-01,600820.SH,15,108.0602640646,117.44910668005,0.08688524590164981,True,2025-07-01,2025-08-01,0.08756566047668457,-0.0006804145750347601
a,2025-06-30,2025-07-01,2025-08-01,003035.SZ,16,4.680513842187,4.6704265278719,-0.00215517241380192,True,2025-07-01,2025-08-01,-0.0021692514419555664,1.4079028153646256e-05
a,2025-06-30,2025-07-01,2025-08-01,688200.SH,17,321.56517783921,319.47285561581,-0.0065066815923899846,True,2025-07-01,2025-08-01,-0.006434798240661621,-7.188335172836346e-05
a,2025-06-30,2025-07-01,2025-08-01,002299.SZ,18,38.359723705224,41.880664528409,0.09178743961353142,True,2025-07-01,2025-08-01,0.09174966812133789,3.7771492193527934e-05
a,2025-06-30,2025-07-01,2025-08-01,603233.SH,19,50.9834117836,53.631101042893,0.0519323671497538,True,2025-07-01,2025-08-01,0.05139589309692383,0.0005364740528299716
a,2025-06-30,2025-07-01,2025-08-01,002508.SZ,20,147.20797569721,149.61867154857,0.01637612255682752,True,2025-07-01,2025-08-01,0.016173958778381348,0.00020216377844617384
a,2025-06-30,2025-07-01,2025-08-01,000825.SZ,21,22.583927569704,25.391659105397,0.1243243243243275,True,2025-07-01,2025-08-01,0.12466120719909668,-0.0003368828747691843
