market,signal_date,entry_date,exit_date,stocks,turnover,gross_return,net_return,signal_observable_gross_return,signal_observable_net_same_cost,benchmark_return
a,2024-08-30,2024-09-02,2024-10-08,30,0.8,0.308180176754513,0.30578017675451297,0.308180176754513,0.30578017675451297,0.30354727748237287
a,2024-09-30,2024-10-08,2024-11-01,30,0.7333333333333334,-0.04637648980601319,-0.04857648980601319,-0.04637648980601319,-0.04857648980601319,-0.08601213008296194
a,2024-10-31,2024-11-01,2024-12-02,30,0.7333333333333334,0.052785188675422555,0.050585188675422554,0.052785188675422555,0.050585188675422554,0.01481012836873874
a,2024-11-29,2024-12-02,2025-01-02,30,0.7666666666666666,0.052081585310903615,0.04978158531090361,0.052081585310903615,0.04978158531090361,-0.03223117048397628
a,2024-12-31,2025-01-02,2025-02-05,30,0.7333333333333334,0.055768650914230625,0.053568650914230624,0.055768650914230625,0.053568650914230624,-0.006625073762002387
a,2025-01-27,2025-02-05,2025-03-03,30,0.6333333333333333,0.037671085887212255,0.035771085887212256,0.037671085887212255,0.035771085887212256,0.024607882279731985
a,2025-02-28,2025-03-03,2025-04-01,30,0.8,0.03354810934255302,0.03114810934255302,0.03354810934255302,0.03114810934255302,-0.0002030873912536313
a,2025-03-31,2025-04-01,2025-05-06,30,0.6666666666666667,0.06277810607648128,0.06077810607648128,0.06277810607648128,0.06077810607648128,-0.020357029523052073
a,2025-04-30,2025-05-06,2025-06-03,30,0.8333333333333334,0.025314249979253918,0.02281424997925392,0.025314249979253918,0.02281424997925392,0.011413894197423335
a,2025-06-30,2025-07-01,2025-08-01,30,0.6666666666666667,0.1051468451948116,0.1031468451948116,0.1051468451948116,0.1031468451948116,0.02844873720503549
a,2025-08-29,2025-09-01,2025-10-09,30,0.7666666666666666,0.04021453913670035,0.037914539136700356,0.04021453913670035,0.037914539136700356,0.041066039783132835
a,2025-09-30,2025-10-09,2025-11-03,30,0.5333333333333333,0.057817385569532136,0.05621738556953214,0.057817385569532136,0.05621738556953214,-0.011907721486142275
a,2025-10-31,2025-11-03,2025-12-01,30,0.6,-0.013942195065059807,-0.01574219506505981,-0.013942195065059807,-0.01574219506505981,-0.01652923748616819
a,2025-11-28,2025-12-01,2026-01-05,30,0.7,0.04879810041241562,0.04669810041241562,0.04879810041241562,0.04669810041241562,0.030866501579290606
a,2025-12-31,2026-01-05,2026-02-02,30,0.5333333333333333,0.05466301924434822,0.053063019244348225,0.05466301924434822,0.053063019244348225,-0.023690509643196744
a,2026-01-30,2026-02-02,2026-03-02,30,0.5666666666666667,0.03947033507483948,0.03777033507483948,0.03947033507483948,0.03777033507483948,0.026636872644624443
a,2026-02-27,2026-03-02,2026-04-01,30,0.5666666666666667,0.023418838419844195,0.021718838419844195,0.023418838419844195,0.021718838419844195,-0.0428454621309069
a,2026-03-31,2026-04-01,2026-05-06,30,0.7666666666666666,0.024981284063670724,0.022681284063670724,0.024981284063670724,0.022681284063670724,0.07755661052108209
a,2026-04-30,2026-05-06,2026-06-01,30,0.5666666666666667,-0.03009364652686354,-0.03179364652686354,-0.03009364652686354,-0.03179364652686354,-0.0067330269595832215
a,2026-05-29,2026-06-01,2026-07-01,30,0.6333333333333333,-0.01942104362185976,-0.02132104362185976,-0.01942104362185976,-0.02132104362185976,0.023682008026165935
a,2026-06-30,2026-07-01,2026-08-03,30,0.6333333333333333,0.06361882967171185,0.061718829671711856,0.06361882967171185,0.061718829671711856,-0.08384777240258778
a,2026-07-31,2026-08-03,2026-09-01,30,1.0,0.23423765565970597,0.23123765565970597,0.23423765565970597,0.23123765565970597,0.01502501079585672
