market,fee_per_side,date,signal_date,equity_before_trades,cash,holdings_value,equity,net_value,cash_weight,signal_exclusion_reserved_cash,trade_gross,fees_paid,held_stocks,pending_orders,stale_market_value,max_stale_trading_days,benchmark_close,benchmark_nav,account_evidence_status
a,0.003,2022-11-23,2022-10-31,2073442.901208457,-4.547473508864641e-13,2073442.901208457,2073442.901208457,2.073442901208457,-2.1931992948608586e-19,0.0,0.0,0.0,30,1,0.0,0,3773.5287,1.0230918215147131,complete_account
a,0.003,2022-11-24,2022-10-31,2084585.9545088094,-4.547473508864641e-13,2084585.9545088094,2084585.9545088094,2.0845859545088095,-2.1814756542078697e-19,0.0,0.0,0.0,30,1,0.0,0,3756.8082,1.0185585031907696,complete_account
a,0.003,2022-11-25,2022-10-31,2114793.8871782706,-4.547473508864641e-13,2114793.8871782706,2114793.8871782706,2.1147938871782705,-2.1503152323426888e-19,0.0,0.0,0.0,30,1,0.0,0,3775.7764,1.023701225515594,complete_account
a,0.003,2022-11-28,2022-10-31,2113113.4971670955,-4.547473508864641e-13,2113113.4971670955,2113113.4971670955,2.1131134971670957,-2.1520252059158787e-19,0.0,0.0,0.0,30,1,0.0,0,3733.2424,1.0121692640556728,complete_account
a,0.003,2022-11-29,2022-10-31,2151480.379762929,-4.547473508864641e-13,2151480.379762929,2151480.379762929,2.151480379762929,-2.1136486075535237e-19,0.0,0.0,0.0,30,1,0.0,0,3848.4224,1.0433972539215148,complete_account
a,0.003,2022-11-30,2022-10-31,2170510.549940498,-4.547473508864641e-13,2170510.549940498,2170510.549940498,2.170510549940498,-2.0951169801912756e-19,0.0,0.0,0.0,30,1,0.0,0,3853.0365,1.044648244267408,complete_account
a,0.003,2022-12-01,2022-11-30,2159428.367213583,-1.4551915228366852e-10,2151123.084844469,2151123.084844469,2.151123084844469,-6.764798969845553e-17,0.0,2768427.456371433,8305.2823691143,30,0,0.0,0,3894.7687,1.0559628190085029,complete_account
a,0.003,2022-12-02,2022-11-30,2133223.182652184,-1.4551915228366852e-10,2133223.182652184,2133223.182652184,2.1332231826521837,-6.821562481931597e-17,0.0,0.0,0.0,30,0,0.0,0,3870.9478,1.049504416301477,complete_account
a,0.003,2022-12-05,2022-11-30,2160442.2136807,-1.4551915228366852e-10,2160442.2136807,2160442.2136807,2.1604422136807,-6.735618817397138e-17,0.0,0.0,0.0,30,0,0.0,0,3946.8759,1.0700902987231877,complete_account
a,0.003,2022-12-06,2022-11-30,2162223.290870439,-1.4551915228366852e-10,2162223.290870439,2162223.290870439,2.162223290870439,-6.730070520380315e-17,0.0,0.0,0.0,30,0,0.0,0,3968.1979,1.0758711912385506,complete_account
a,0.003,2022-12-07,2022-11-30,2151026.009342996,-1.4551915228366852e-10,2151026.009342996,2151026.009342996,2.151026009342996,-6.765104264272263e-17,0.0,0.0,0.0,30,0,0.0,0,3958.4409,1.0732258405082067,complete_account
a,0.003,2022-12-08,2022-11-30,2140101.6691717715,-1.4551915228366852e-10,2140101.6691717715,2140101.6691717715,2.1401016691717714,-6.799637343397104e-17,0.0,0.0,0.0,30,0,0.0,0,3959.1798,1.0734261735670003,complete_account
a,0.003,2022-12-09,2022-11-30,2138840.372950459,-1.4551915228366852e-10,2138840.372950459,2138840.372950459,2.138840372950459,-6.803647159648932e-17,0.0,0.0,0.0,30,0,0.0,0,3998.2442,1.084017445379079,complete_account
a,0.003,2022-12-12,2022-11-30,2131874.2491751355,-1.4551915228366852e-10,2131874.2491751355,2131874.2491751355,2.1318742491751355,-6.825878793740896e-17,0.0,0.0,0.0,30,0,0.0,0,3953.4433,1.0718708743495546,complete_account
a,0.003,2022-12-13,2022-11-30,2120595.5175883244,-1.4551915228366852e-10,2120595.5175883244,2120595.5175883244,2.1205955175883244,-6.862183338440804e-17,0.0,0.0,0.0,30,0,0.0,0,3945.6813,1.069766414744253,complete_account
a,0.003,2022-12-14,2022-11-30,2127967.329150762,-1.4551915228366852e-10,2127967.329150762,2127967.329150762,2.127967329150762,-6.838411017416461e-17,0.0,0.0,0.0,30,0,0.0,0,3954.8857,1.0722619426998106,complete_account
a,0.003,2022-12-15,2022-11-30,2132609.8453875985,-1.4551915228366852e-10,2132609.8453875985,2132609.8453875985,2.1326098453875986,-6.823524359056902e-17,0.0,0.0,0.0,30,0,0.0,0,3951.9885,1.0714764440694988,complete_account
a,0.003,2022-12-16,2022-11-30,2125710.3858456123,-1.4551915228366852e-10,2125710.3858456123,2125710.3858456123,2.125710385845612,-6.845671604778874e-17,0.0,0.0,0.0,30,0,0.0,0,3954.227,1.072083353735367,complete_account
a,0.003,2022-12-19,2022-11-30,2092114.6271830935,-1.4551915228366852e-10,2092114.6271830937,2092114.6271830935,2.0921146271830935,-6.955601303720213e-17,0.0,0.0,0.0,30,0,0.0,0,3893.2207,1.0555431200302745,complete_account
a,0.003,2022-12-20,2022-11-30,2074503.4170339524,-1.4551915228366852e-10,2074503.4170339527,2074503.4170339524,2.0745034170339522,-7.014649920014418e-17,0.0,0.0,0.0,30,0,0.0,0,3829.0173,1.038136077795923,complete_account
a,0.003,2022-12-21,2022-11-30,2066437.743089535,-1.4551915228366852e-10,2066437.7430895353,2066437.743089535,2.066437743089535,-7.042029345926607e-17,0.0,0.0,0.0,30,0,0.0,0,3830.5384,1.0385484835554728,complete_account
a,0.003,2022-12-22,2022-11-30,2048596.67157779,-1.4551915228366852e-10,2048596.6715777903,2048596.67157779,2.04859667157779,-7.103357840154668e-17,0.0,0.0,0.0,30,0,0.0,0,3836.028,1.0400368424126314,complete_account
a,0.003,2022-12-23,2022-11-30,2049401.3655095452,-1.4551915228366852e-10,2049401.3655095454,2049401.3655095452,2.0494013655095453,-7.100568718879911e-17,0.0,0.0,0.0,30,0,0.0,0,3828.2188,1.0379195857842207,complete_account
a,0.003,2022-12-26,2022-11-30,2063161.0002666323,-1.4551915228366852e-10,2063161.0002666325,2063161.0002666323,2.0631610002666325,-7.053213601113164e-17,0.0,0.0,0.0,30,0,0.0,0,3843.4887,1.0420596125462664,complete_account
a,0.003,2022-12-27,2022-11-30,2093762.8138128298,-1.4551915228366852e-10,2093762.81381283,2093762.8138128298,2.09376281381283,-6.950125932300423e-17,0.0,0.0,0.0,30,0,0.0,0,3887.854,1.0540880822354055,complete_account
a,0.003,2022-12-28,2022-11-30,2086435.151873358,-1.4551915228366852e-10,2086435.1518733583,2086435.151873358,2.086435151873358,-6.974535113301292e-17,0.0,0.0,0.0,30,0,0.0,0,3871.2644,1.0495902539607194,complete_account
a,0.003,2022-12-29,2022-11-30,2070337.2768658928,-1.4551915228366852e-10,2070337.276865893,2070337.2768658928,2.0703372768658928,-7.028765501626748e-17,0.0,0.0,0.0,30,0,0.0,0,3856.7007,1.0456416945232374,complete_account
a,0.003,2022-12-30,2022-11-30,2081464.7226394298,-1.4551915228366852e-10,2081464.72263943,2081464.7226394298,2.08146472263943,-6.991189939512448e-17,0.0,0.0,0.0,30,0,0.0,0,3871.6338,1.0496904069339477,complete_account
a,0.003,2023-01-03,2022-12-30,2102238.8658576705,69930.8062219852,2021927.5976446334,2091858.4038666186,2.0918584038666186,0.033429990334299955,0.0,3460153.997017476,10380.461991052416,29,1,0.0,0,3887.8992,1.0541003370117725,complete_account
a,0.003,2023-01-04,2022-12-30,2077644.1690643458,-1.4551915228366852e-11,2077435.0041404513,2077435.0041404513,2.0774350041404515,-7.00475114714252e-18,0.0,69721.64129809094,209.16492389427282,30,1,0.0,0,3892.9477,1.0554691033500059,complete_account
a,0.003,2023-01-05,2022-12-30,2095804.2099651,-1.4551915228366852e-11,2095804.2099651,2095804.2099651,2.0958042099651,-6.943356234888551e-18,0.0,0.0,0.0,30,1,0.0,0,3968.5782,1.0759742994565222,complete_account
a,0.003,2023-01-06,2022-12-30,2113999.678697032,-1.4551915228366852e-11,2113999.678697032,2113999.678697032,2.113999678697032,-6.883593869482494e-18,0.0,0.0,0.0,30,1,0.0,0,3980.8888,1.0793119908269202,complete_account
a,0.003,2023-01-09,2022-12-30,2109792.362368975,-1.4551915228366852e-11,2109792.362368975,2109792.362368975,2.109792362368975,-6.8973210292728864e-18,0.0,0.0,0.0,30,1,0.0,0,4013.1196,1.0880505139712855,complete_account
a,0.003,2023-01-10,2022-12-30,2105295.052379982,-1.4551915228366852e-11,2105295.052379982,2105295.052379982,2.105295052379982,-6.912055016666801e-18,0.0,0.0,0.0,30,1,0.0,0,4017.4737,1.089231012240732,complete_account
a,0.003,2023-01-11,2022-12-30,2102573.480720043,-1.4551915228366852e-11,2102573.480720043,2102573.480720043,2.1025734807200434,-6.9210019824769366e-18,0.0,0.0,0.0,30,1,0.0,0,4010.0309,1.087213095215437,complete_account
a,0.003,2023-01-12,2022-12-30,2099970.8470278685,-1.4551915228366852e-11,2099970.8470278685,2099970.8470278685,2.0999708470278686,-6.9295796410519095e-18,0.0,0.0,0.0,30,1,0.0,0,4017.8692,1.0893382415339423,complete_account
a,0.003,2023-01-13,2022-12-30,2105160.7083485937,-1.4551915228366852e-11,2105160.7083485937,2105160.7083485937,2.1051607083485937,-6.912496119967103e-18,0.0,0.0,0.0,30,1,0.0,0,4074.3772,1.104658880979497,complete_account
a,0.003,2023-01-16,2022-12-30,2108603.904737668,-1.4551915228366852e-11,2108603.904737668,2108603.904737668,2.108603904737668,-6.901208517954091e-18,0.0,0.0,0.0,30,1,0.0,0,4137.9643,1.121898829880333,complete_account
a,0.003,2023-01-17,2022-12-30,2117922.900219702,-1.4551915228366852e-11,2117922.900219702,2117922.900219702,2.117922900219702,-6.870842761489246e-18,0.0,0.0,0.0,30,1,0.0,0,4137.2422,1.121703051694171,complete_account
a,0.003,2023-01-18,2022-12-30,2122192.4147450025,-1.4551915228366852e-11,2122192.4147450025,2122192.4147450025,2.1221924147450024,-6.8570197156770886e-18,0.0,0.0,0.0,30,1,0.0,0,4130.3143,1.1198247360925775,complete_account
a,0.003,2023-01-19,2022-12-30,2142166.584727236,-1.4551915228366852e-11,2142166.584727236,2142166.584727236,2.142166584727236,-6.793082915267189e-18,0.0,0.0,0.0,30,1,0.0,0,4156.0077,1.1267908173117043,complete_account
a,0.003,2023-01-20,2022-12-30,2173782.745775731,-1.4551915228366852e-11,2173782.745775731,2173782.745775731,2.1737827457757306,-6.694282239862885e-18,0.0,0.0,0.0,30,1,0.0,0,4181.5267,1.133709614614938,complete_account
a,0.003,2023-01-30,2022-12-30,2163013.2233912083,-1.4551915228366852e-11,2163013.2233912083,2163013.2233912083,2.1630132233912085,-6.7276126983413056e-18,0.0,0.0,0.0,30,1,0.0,0,4201.345,1.1390828189174054,complete_account
a,0.003,2023-01-31,2022-12-30,2157478.9447711455,-1.4551915228366852e-11,2157478.9447711455,2157478.9447711455,2.1574789447711455,-6.744870101112596e-18,0.0,0.0,0.0,30,1,0.0,0,4156.8578,1.1270212992893476,complete_account
a,0.003,2023-02-01,2023-01-31,2158578.279103634,71599.13671513773,2076374.9647389846,2147974.1014541225,2.1479741014541225,0.03333333333333348,71599.1367151374,3534725.883170787,10604.177649512367,29,0,0.0,0,4195.9332,1.1376155534585066,complete_account
