date,market,rank,code,name,score,selected,target_weight
2026-09-08,hk2,112,00956.HK,新天绿色能源,0.7629738391698362,False,0.0
2026-09-08,hk2,113,03996.HK,中国能源建设,0.7628392267849649,False,0.0
2026-09-08,hk2,114,01811.HK,中广核新能源,0.7615561492869543,False,0.0
2026-09-08,hk2,115,01882.HK,海天国际,0.760963928323772,False,0.0
2026-09-08,hk2,116,00316.HK,东方海外国际,0.7595865005421724,False,0.0
2026-09-08,hk2,117,01919.HK,中远海控,0.7416080824502447,False,0.0
2026-09-08,hk2,118,06099.HK,招商证券,0.7415452025608524,False,0.0
2026-09-08,hk2,119,02232.HK,晶苑国际,0.7406054381690694,False,0.0
2026-09-08,hk2,120,00639.HK,首钢资源,0.7314329337423711,False,0.0
2026-09-08,hk2,121,00019.HK,太古股份公司A,0.7251911358767489,False,0.0
2026-09-08,hk2,122,03998.HK,波司登,0.7214853816585105,False,0.0
2026-09-08,hk2,123,01113.HK,长实集团,0.7200052760131417,False,0.0
2026-09-08,hk2,124,00003.HK,香港中华煤气,0.7118457925090546,False,0.0
2026-09-08,hk2,125,01579.HK,颐海国际,0.7099814571347454,False,0.0
2026-09-08,hk2,126,00839.HK,中教控股,0.7050505227533292,False,0.0
2026-09-08,hk2,127,00388.HK,香港交易所,0.7020129170906515,False,0.0
2026-09-08,hk2,128,00005.HK,汇丰控股,0.6971989545308053,False,0.0
2026-09-08,hk2,129,00857.HK,中国石油股份,0.6930527350740232,False,0.0
2026-09-08,hk2,130,02269.HK,药明生物,0.6800122465884013,False,0.0
2026-09-08,hk2,131,01208.HK,五矿资源,0.6625249845203095,False,0.0
2026-09-08,hk2,132,00551.HK,裕元集团,0.6570294415314393,False,0.0
2026-09-08,hk2,133,01908.HK,建发国际集团,0.6496520565908439,False,0.0
2026-09-08,hk2,134,01836.HK,九兴控股,0.6418452325150565,False,0.0
2026-09-08,hk2,135,06030.HK,中信证券,0.6363106343172933,False,0.0
2026-09-08,hk2,136,00168.HK,青岛啤酒股份,0.6306565143397362,False,0.0
2026-09-08,hk2,137,03396.HK,联想控股,0.6209241596474508,False,0.0
2026-09-08,hk2,138,02618.HK,京东物流,0.6157702674955794,False,0.0
2026-09-08,hk2,139,01972.HK,太古地产,0.6154752566647386,False,0.0
2026-09-08,hk2,140,00016.HK,新鸿基地产,0.6116266106745241,False,0.0
2026-09-08,hk2,141,00303.HK,VTECH HOLDINGS,0.6093491097938434,False,0.0
2026-09-08,hk2,142,00390.HK,中国中铁,0.6080849105151409,False,0.0
2026-09-08,hk2,143,01038.HK,长江基建集团,0.602582521505773,False,0.0
2026-09-08,hk2,144,03939.HK,万国黄金集团,0.5991656790551803,False,0.0
2026-09-08,hk2,145,06049.HK,保利物业,0.5983633809665124,False,0.0
2026-09-08,hk2,146,01898.HK,中煤能源,0.5914872468515436,False,0.0
2026-09-08,hk2,147,01308.HK,海丰国际,0.5898754230616793,False,0.0
2026-09-08,hk2,148,01800.HK,中国交通建设,0.5863065885276132,False,0.0
2026-09-08,hk2,149,02388.HK,中银香港,0.5704762433267634,False,0.0
2026-09-08,hk2,150,02099.HK,中国黄金国际,0.5660581252291046,False,0.0
2026-09-08,hk2,151,02018.HK,瑞声科技,0.5628149551060462,False,0.0
2026-09-08,hk2,152,01361.HK,361度,0.5576626315076604,False,0.0
2026-09-08,hk2,153,00220.HK,统一企业中国,0.5471586933749204,False,0.0
2026-09-08,hk2,154,00293.HK,国泰航空,0.5441220577558401,False,0.0
2026-09-08,hk2,155,00101.HK,恒隆地产,0.5398955077892025,False,0.0
2026-09-08,hk2,156,00135.HK,昆仑能源,0.5233014206802794,False,0.0
2026-09-08,hk2,157,00856.HK,伟仕佳杰,0.5222702330081264,False,0.0
2026-09-08,hk2,158,01171.HK,兖矿能源,0.5213618238006306,False,0.0
2026-09-08,hk2,159,00002.HK,中电控股,0.5054880498576171,False,0.0
2026-09-08,hk2,160,01766.HK,中国中车,0.49626586788392835,False,0.0
2026-09-08,hk2,161,01193.HK,华润燃气,0.47603975459725195,False,0.0
2026-09-08,hk2,162,09901.HK,新东方-S,0.4760384935633433,False,0.0
2026-09-08,hk2,163,06690.HK,海尔智家,0.4711617222502789,False,0.0
2026-09-08,hk2,164,02380.HK,中国电力,0.46613310863936963,False,0.0
2026-09-08,hk2,165,06078.HK,海吉亚医疗,0.42771924977768383,False,0.0
2026-09-08,hk2,166,00696.HK,中国民航信息网络,0.4178979307633639,False,0.0
2026-09-08,hk2,167,01997.HK,九龙仓置业,0.41151095791821785,False,0.0
2026-09-08,hk2,168,03393.HK,威胜控股,0.3946891791484496,False,0.0
2026-09-08,hk2,169,06655.HK,华新建材,0.3909261286221363,False,0.0
2026-09-08,hk2,170,03898.HK,时代电气,0.38200458675079024,False,0.0
2026-09-08,hk2,171,03380.HK,龙光集团,0.37537032154135325,False,0.0
2026-09-08,hk2,172,01910.HK,新秀丽,0.37222321009076503,False,0.0
2026-09-08,hk2,173,09618.HK,京东集团-SW,0.36868426588479664,False,0.0
2026-09-08,hk2,174,00669.HK,创科实业,0.3681242510521626,False,0.0
2026-09-08,hk2,175,00586.HK,海螺创业,0.36693512443771364,False,0.0
2026-09-08,hk2,176,02319.HK,蒙牛乳业,0.3653586777794219,False,0.0
2026-09-08,hk2,177,01209.HK,华润万象生活,0.3499055862702434,False,0.0
2026-09-08,hk2,178,02423.HK,贝壳-W,0.34328861309228365,False,0.0
2026-09-08,hk2,179,01519.HK,极兔速递-W,0.3432774204483461,False,0.0
2026-09-08,hk2,180,01675.HK,亚信科技,0.34172311259377625,False,0.0
2026-09-08,hk2,181,00728.HK,中国电信,0.3385964388034675,False,0.0
2026-09-08,hk2,182,01876.HK,百威亚太,0.33153935501158005,False,0.0
2026-09-08,hk2,183,01093.HK,石药集团,0.3276671698577284,False,0.0
