windcode,成分券名称,index
601818.SH,光大银行,CSI300
601825.SH,沪农商行,CSI300
601838.SH,成都银行,CSI300
601857.SH,中国石油,CSI300
601868.SH,中国能建,CSI300
601872.SH,招商轮船,CSI300
601877.SH,正泰电器,CSI300
601878.SH,浙商证券,CSI300
601881.SH,中国银河,CSI300
601888.SH,中国中免,CSI300
601898.SH,中煤能源,CSI300
601899.SH,紫金矿业,CSI300
601901.SH,方正证券,CSI300
601916.SH,浙商银行,CSI300
601919.SH,中远海控,CSI300
601939.SH,建设银行,CSI300
601985.SH,中国核电,CSI300
601988.SH,中国银行,CSI300
601995.SH,中金公司,CSI300
601998.SH,中信银行,CSI300
603019.SH,中科曙光,CSI300
603259.SH,药明康德,CSI300
603260.SH,合盛硅业,CSI300
603288.SH,海天味业,CSI300
603296.SH,华勤技术,CSI300
603369.SH,今世缘,CSI300
603392.SH,万泰生物,CSI300
603501.SH,豪威集团,CSI300
603799.SH,华友钴业,CSI300
603893.SH,瑞芯微,CSI300
603986.SH,兆易创新,CSI300
603993.SH,洛阳钼业,CSI300
605117.SH,德业股份,CSI300
605499.SH,东鹏饮料,CSI300
688008.SH,澜起科技,CSI300
688009.SH,中国通号,CSI300
688012.SH,中微公司,CSI300
688036.SH,传音控股,CSI300
688041.SH,海光信息,CSI300
688047.SH,龙芯中科,CSI300
688072.SH,拓荆科技,CSI300
688082.SH,盛美上海,CSI300
688111.SH,金山办公,CSI300
688126.SH,沪硅产业,CSI300
688183.SH,生益电子,CSI300
688223.SH,晶科能源,CSI300
688256.SH,寒武纪,CSI300
688271.SH,联影医疗,CSI300
688303.SH,大全能源,CSI300
688396.SH,华润微,CSI300
688472.SH,阿特斯,CSI300
688506.SH,百利天恒,CSI300
688521.SH,芯原股份,CSI300
688981.SH,中芯国际,CSI300
000009.SZ,中国宝安,CSI500
000021.SZ,深科技,CSI500
000027.SZ,深圳能源,CSI500
000032.SZ,深桑达A,CSI500
000034.SZ,神州数码,CSI500
000039.SZ,中集集团,CSI500
000050.SZ,深天马A,CSI500
000060.SZ,中金岭南,CSI500
000062.SZ,深圳华强,CSI500
000088.SZ,盐田港,CSI500
000155.SZ,川能动力,CSI500
000400.SZ,许继电气,CSI500
000415.SZ,渤海租赁,CSI500
000423.SZ,东阿阿胶,CSI500
000429.SZ,粤高速A,CSI500
000513.SZ,丽珠集团,CSI500
000519.SZ,中兵红箭,CSI500
000528.SZ,柳工,CSI500
000537.SZ,绿发电力,CSI500
000539.SZ,粤电力A,CSI500
000559.SZ,万向钱潮,CSI500
000582.SZ,北部湾港,CSI500
000591.SZ,太阳能,CSI500
000598.SZ,兴蓉环境,CSI500
000623.SZ,吉林敖东,CSI500
000629.SZ,钒钛股份,CSI500
000661.SZ,长春高新,CSI500
000683.SZ,博源化工,CSI500
000703.SZ,恒逸石化,CSI500
000709.SZ,河钢股份,CSI500
000723.SZ,美锦能源,CSI500
000728.SZ,国元证券,CSI500
000729.SZ,燕京啤酒,CSI500
000733.SZ,振华科技,CSI500
000737.SZ,北方铜业,CSI500
000738.SZ,航发控制,CSI500
000739.SZ,普洛药业,CSI500
000750.SZ,国海证券,CSI500
000783.SZ,长江证券,CSI500
000785.SZ,居然智家,CSI500
000786.SZ,北新建材,CSI500
000800.SZ,一汽解放,CSI500
000825.SZ,太钢不锈,CSI500
000830.SZ,鲁西化工,CSI500
000831.SZ,中国稀土,CSI500
000878.SZ,云南铜业,CSI500
000883.SZ,湖北能源,CSI500
000887.SZ,中鼎股份,CSI500
000893.SZ,亚钾国际,CSI500
000898.SZ,鞍钢股份,CSI500
000921.SZ,海信家电,CSI500
000932.SZ,华菱钢铁,CSI500
000937.SZ,冀中能源,CSI500
000951.SZ,中国重汽,CSI500
000959.SZ,首钢股份,CSI500
000960.SZ,锡业股份,CSI500
000967.SZ,盈峰环境,CSI500
000983.SZ,山西焦煤,CSI500
000987.SZ,越秀资本,CSI500
000997.SZ,新 大 陆,CSI500
001203.SZ,大中矿业,CSI500
001221.SZ,悍高集团,CSI500
001286.SZ,陕西能源,CSI500
001309.SZ,德明利,CSI500
001386.SZ,马可波罗,CSI500
001389.SZ,广合科技,CSI500
001696.SZ,宗申动力,CSI500
002007.SZ,华兰生物,CSI500
002008.SZ,大族激光,CSI500
002025.SZ,航天电器,CSI500
002032.SZ,苏泊尔,CSI500
002044.SZ,美年健康,CSI500
002056.SZ,横店东磁,CSI500
002064.SZ,华峰化学,CSI500
002065.SZ,东华软件,CSI500
002078.SZ,太阳纸业,CSI500
002085.SZ,万丰奥威,CSI500
002120.SZ,韵达股份,CSI500
002126.SZ,银轮股份,CSI500
002130.SZ,沃尔核材,CSI500
002131.SZ,利欧股份,CSI500
002138.SZ,顺络电子,CSI500
002152.SZ,广电运通,CSI500
002153.SZ,石基信息,CSI500
002155.SZ,湖南黄金,CSI500
002157.SZ,正邦科技,CSI500
002185.SZ,华天科技,CSI500
002195.SZ,岩山科技,CSI500
002203.SZ,海亮股份,CSI500
002223.SZ,鱼跃医疗,CSI500
002244.SZ,滨江集团,CSI500
002252.SZ,上海莱士,CSI500
002261.SZ,拓维信息,CSI500
002262.SZ,恩华药业,CSI500
002265.SZ,建设工业,CSI500
002266.SZ,浙富控股,CSI500
002271.SZ,东方雨虹,CSI500
002273.SZ,水晶光电,CSI500
002281.SZ,光迅科技,CSI500
002299.SZ,圣农发展,CSI500
002312.SZ,川发龙蟒,CSI500
002318.SZ,久立特材,CSI500
002335.SZ,科华数据,CSI500
002340.SZ,格林美,CSI500
002402.SZ,和而泰,CSI500
002407.SZ,多氟多,CSI500
002409.SZ,雅克科技,CSI500
002410.SZ,广联达,CSI500
002414.SZ,高德红外,CSI500
002423.SZ,中粮资本,CSI500
002429.SZ,兆驰股份,CSI500
002430.SZ,杭氧股份,CSI500
002432.SZ,九安医疗,CSI500
002436.SZ,兴森科技,CSI500
002444.SZ,巨星科技,CSI500
002461.SZ,珠江啤酒,CSI500
002465.SZ,海格通信,CSI500
002472.SZ,双环传动,CSI500
002487.SZ,大金重工,CSI500
002500.SZ,山西证券,CSI500
002508.SZ,老板电器,CSI500
002517.SZ,恺英网络,CSI500
002568.SZ,百润股份,CSI500
002583.SZ,海能达,CSI500
002601.SZ,龙佰集团,CSI500
002603.SZ,以岭药业,CSI500
002608.SZ,江苏国信,CSI500
002624.SZ,完美世界,CSI500
002670.SZ,国盛证券,CSI500
002673.SZ,西部证券,CSI500
002683.SZ,广东宏大,CSI500
002738.SZ,中矿资源,CSI500
002739.SZ,儒意电影,CSI500
002756.SZ,永兴材料,CSI500
002773.SZ,康弘药业,CSI500
002797.SZ,第一创业,CSI500
002812.SZ,恩捷股份,CSI500
002821.SZ,凯莱英,CSI500
002831.SZ,裕同科技,CSI500
002841.SZ,视源股份,CSI500
002850.SZ,科达利,CSI500
002851.SZ,麦格米特,CSI500
002926.SZ,华西证券,CSI500
002939.SZ,长城证券,CSI500
002945.SZ,华林证券,CSI500
002966.SZ,苏州银行,CSI500
002984.SZ,森麒麟,CSI500
003021.SZ,兆威机电,CSI500
003022.SZ,联泓新科,CSI500
003031.SZ,中瓷电子,CSI500
003035.SZ,南网能源,CSI500
300001.SZ,特锐德,CSI500
300002.SZ,神州泰岳,CSI500
300003.SZ,乐普医疗,CSI500
300012.SZ,华测检测,CSI500
300017.SZ,网宿科技,CSI500
300024.SZ,机器人,CSI500
300037.SZ,新宙邦,CSI500
300054.SZ,鼎龙股份,CSI500
300058.SZ,蓝色光标,CSI500
300073.SZ,当升科技,CSI500
300100.SZ,双林股份,CSI500
300115.SZ,长盈精密,CSI500
300136.SZ,信维通信,CSI500
300140.SZ,节能环境,CSI500
300142.SZ,沃森生物,CSI500
300144.SZ,宋城演艺,CSI500
300146.SZ,汤臣倍健,CSI500
300207.SZ,欣旺达,CSI500
300223.SZ,君正股份,CSI500
300285.SZ,国瓷材料,CSI500
300339.SZ,润和软件,CSI500
300346.SZ,南大光电,CSI500
300373.SZ,扬杰科技,CSI500
300383.SZ,光环新网,CSI500
