market,fee_per_side,signal_date,date,code,side,adjusted_units,adjusted_close,raw_close,gross_notional,fee_paid,cash_after_trade,daily_capacity_notional,account_evidence_status
hk,0.005,2024-12-31,2025-01-09,03928.HK,sell,227.58823529411768,3.4,3.4,773.8000000000001,3.869,84517.61437791643,773.8000000000001,complete_account
hk,0.005,2024-12-31,2025-01-10,01396.HK,sell,5235.842762749077,0.017754543864719,0.143,92.96000000000001,0.46480000000000005,84610.10957791643,92.96000000000001,complete_account
hk,0.005,2024-12-31,2025-01-10,01523.HK,sell,473.8853549361335,7.727774150182,4.37,3662.078996025275,18.310394980126375,88253.87817896158,10612.31,complete_account
hk,0.005,2024-12-31,2025-01-10,03928.HK,sell,1307.4418604651164,3.44,3.44,4497.6,22.488000000000003,92728.99017896157,4497.6,complete_account
hk,0.005,2024-12-31,2025-01-10,09677.HK,sell,8.93371632312325,3.2349359387199,2.89,28.900000000000002,0.14450000000000002,92757.74567896157,28.900000000000002,complete_account
hk,0.005,2024-12-31,2025-01-10,00247.HK,buy,0.015561150193687989,360.51319665789,19.8,5.61,0.028050000000000002,92752.10762896157,5.61,complete_account
hk,0.005,2024-12-31,2025-01-13,01396.HK,sell,5185.19845031182,0.019368593306966,0.156,100.43,0.5021500000000001,92852.03547896157,100.43,complete_account
hk,0.005,2024-12-31,2025-01-13,03928.HK,sell,141.875,3.2,3.2,454.0,2.27,93303.76547896156,454.0,complete_account
hk,0.005,2024-12-31,2025-01-14,01396.HK,sell,89087.29843345413,0.022845007490268,0.184,2035.2,10.176,95328.78947896157,2035.2,complete_account
hk,0.005,2024-12-31,2025-01-14,03928.HK,sell,247.29970326409494,3.37,3.37,833.4,4.167,96158.02247896156,833.4,complete_account
hk,0.005,2024-12-31,2025-01-15,01396.HK,sell,4510.394669115203,0.022720849840864,0.183,102.48,0.5124000000000001,96259.99007896156,102.48,complete_account
hk,0.005,2024-12-31,2025-01-15,03928.HK,sell,232.8955223880597,3.35,3.35,780.2,3.9010000000000002,97036.28907896156,780.2,complete_account
hk,0.005,2024-12-31,2025-01-15,09677.HK,sell,8.93371632312325,3.2349359387199,2.89,28.900000000000002,0.14450000000000002,97065.04457896156,28.900000000000002,complete_account
hk,0.005,2024-12-31,2025-01-16,01396.HK,sell,24957.057745149534,0.023217480438479,0.187,579.44,2.8972,97641.58737896156,579.44,complete_account
hk,0.005,2024-12-31,2025-01-16,03928.HK,sell,58.4984984984985,3.33,3.33,194.8,0.9740000000000001,97835.41337896156,194.8,complete_account
hk,0.005,2024-12-31,2025-01-16,09677.HK,sell,8.93371632312325,3.2349359387199,2.89,28.900000000000002,0.14450000000000002,97864.16887896156,28.900000000000002,complete_account
