market,fee_per_side,date,signal_date,equity_before_trades,cash,holdings_value,equity,net_value,cash_weight,signal_exclusion_reserved_cash,trade_gross,fees_paid,held_stocks,pending_orders,stale_market_value,max_stale_trading_days,benchmark_close,benchmark_nav,account_evidence_status
hk,0.005,2024-02-02,2024-01-31,1167895.9230864851,58741.2598233343,1107732.9394684234,1166474.1992917578,1.1664741992917578,0.05035795893213921,0.0,284344.75894547836,1421.7237947273916,20,12,0.0,0,15533.56,0.5908165625019017,complete_account
hk,0.005,2024-02-05,2024-01-31,1156664.0244255224,69912.96470271556,1086090.5134671314,1156003.478169847,1.156003478169847,0.06047816120190213,0.0,132109.25113505655,660.5462556752829,18,10,0.0,0,15510.01,0.5899208418784954,complete_account
hk,0.005,2024-02-06,2024-01-31,1168483.3046090466,90412.8725728566,1077568.3608878113,1167981.233460668,1.167981233460668,0.07740952506999443,0.0,100414.22967568767,502.0711483784383,18,6,0.0,0,16136.87,0.613763365444886,complete_account
hk,0.005,2024-02-07,2024-01-31,1179016.5674251043,128167.20543784587,1050590.7543765137,1178757.9598143594,1.1787579598143594,0.10873072319107029,0.0,51721.522148937176,258.60761074468587,17,4,27.999999999999996,1,16081.89,0.6116722096115577,complete_account
hk,0.005,2024-02-08,2024-01-31,1179056.8391490318,133139.4297550313,1045878.8424376327,1179018.272192664,1.179018272192664,0.11292397488244772,0.0,7713.391273553215,38.566956367766075,16,3,27.999999999999996,2,15878.07,0.6039199472989174,complete_account
hk,0.005,2024-02-09,2024-01-31,1175718.0142485192,134422.05925503132,1041275.8844934879,1175697.9437485193,1.1756979437485193,0.11433383886549016,0.0,4014.1000000000004,20.070500000000003,16,3,27.999999999999996,3,15746.58,0.5989187453977837,complete_account
hk,0.005,2024-02-14,2024-01-31,1169872.0555421754,137062.74125503132,1032783.1962871441,1169845.9375421754,1.1698459375421755,0.11716306981669534,0.0,5223.6,26.118000000000002,16,3,27.999999999999996,4,15879.38,0.6039697729471832,complete_account
hk,0.005,2024-02-15,2024-01-31,1169496.5965200458,141742.2457550313,1027716.5552650144,1169458.8010200458,1.1694588010200457,0.12120328277609985,0.0,7559.1,37.7955,16,3,27.999999999999996,5,15944.63,0.6064515466489779,complete_account
hk,0.005,2024-02-16,2024-01-31,1191891.6569283037,142224.6052550313,1049647.9111732724,1191872.5164283037,1.1918725164283037,0.11932870612809933,0.0,3828.1000000000004,19.140500000000003,16,3,27.999999999999996,6,16339.96,0.621487862319943,complete_account
hk,0.005,2024-02-19,2024-01-31,1224085.8076595862,142161.8197188783,1081909.9677675227,1224071.787486401,1.2240717874864009,0.11613846603784884,0.0,2804.0346370321968,14.020173185160985,15,2,27.999999999999996,7,16155.61,0.6144761384590106,complete_account
hk,0.005,2024-02-20,2024-01-31,1228546.2498909573,140941.4482188783,1087598.730172079,1228540.1783909574,1.2285401783909573,0.11472270154279529,0.0,1214.3,6.0715,15,2,27.999999999999996,8,16247.51,0.6179715408068256,complete_account
hk,0.005,2024-02-21,2024-01-31,1237170.8739110457,139419.6772188783,1097743.6256921673,1237163.3029110455,1.2371633029110456,0.11269302677409179,0.0,1514.2,7.571000000000001,15,2,27.999999999999996,9,16503.1,0.6276928670971197,complete_account
hk,0.005,2024-02-22,2024-01-31,1257232.4837234775,137835.2947188783,1119389.306504599,1257224.6012234774,1.2572246012234773,0.1096345828619189,0.0,1576.5,7.8825,15,2,0.0,0,16742.95,0.6368155249113028,complete_account
hk,0.005,2024-02-23,2024-01-31,1264968.0119083424,136415.7322188783,1128545.217189464,1264960.9494083424,1.2649609494083425,0.10784185257472473,0.0,1412.5,7.0625,15,2,55.99999999999999,1,16725.86,0.6361655093930856,complete_account
hk,0.005,2024-02-26,2024-01-31,1260946.4699927615,134769.24071887828,1126169.0377738832,1260938.2784927615,1.2609382784927616,0.10688012491774944,0.0,1638.3,8.1915,15,2,55.99999999999999,2,16634.74,0.6326997742251542,complete_account
hk,0.005,2024-02-27,2024-01-31,1261931.8104194847,133425.65621887828,1128499.4697006065,1261925.1259194848,1.2619251259194848,0.10573183264075155,0.0,1336.9,6.684500000000001,15,2,55.99999999999999,3,16790.8,0.6386354922926187,complete_account
hk,0.005,2024-02-28,2024-01-31,1262046.5277184232,132255.13271887827,1129785.571499545,1262040.7042184232,1.2620407042184232,0.10479466492388877,0.0,1164.7,5.8235,15,2,55.99999999999999,4,16536.85,0.628976543149772,complete_account
